"","study_order","ManiCheck","Exp1_check","Exp1_check_DO_1","Exp1_check_DO_2","Exp1_check_DO_3","Exp1_prob_hiring","Exp1_loyalty","Exp1_honesty","Exp2_S1_check","Exp2_S1_seen_wrong","Exp2_S1_self_action","Exp2_S1_guide_other","Exp2_S2F_check","Exp2_S2F_seen_wrong","Exp2_S2F_self_action","Exp2_S2F_guide_other","Exp2_S2M_check","Exp2_S2M_seen_wrong","Exp2_S2M_self_action","Exp2_S2M_guide_other","MASC_set1","MASC_set2","MASC_set3","BIDR_self_deceptive","BIDR_impre_manage","age","gender","origcount","residence","soc_class","engunder","funnel_pay","assignmentId","hitId","CountryCode","CountryName","Duration__in_seconds_","condition","Exp2_S2_seen_wrong_T2","Exp2_S2_self_action_T2","Exp2_S2_guide_other_T2"
"744","Exp2First",4,1,3,2,1,5,3,4,3,5,3,1,NA,NA,NA,NA,1,4,5,4,4.25,3.75,3.5,3,11,37,2,"USA","USA",4,7,4,"32RIADZISS5OLJ1V9SOAXRFUWIES4I","3MWOYZD5WVPTNFMFUDGVNBFAOL7NOQ","","",661,"Negative",4,5,4
"745","Exp2First",3,1,1,3,2,2,2,2,3,7,2,2,1,8,1,2,NA,NA,NA,NA,3.625,4.08333333333333,5.5,0,4,63,2,"USA","USA",5,7,6,"36DSNE9QZ5ZZQ9SN5IU5JOUCHQ1JO3","3EGKVCRQFWT3GK1KXAKKY7DIL6SYBN","","",813,"Negative",8,1,2
"746","Exp1First",4.33333333333333,1,1,2,3,1,1,1,3,9,1,1,NA,NA,NA,NA,1,8,1,1,2.875,3.41666666666667,3.5,4,9,32,2,"United States","United States",3,7,3,"3HYA4D452RK5E0HMZU5NXDZHNEQF2S","302U8RURJZ2ODZVCVP29I39IKE4VN0","","",975,"Negative",8,1,1
"747","Exp2First",3.5,1,1,3,2,1,1,1,3,7,3,3,NA,NA,NA,NA,1,3,7,7,3.9375,4.66666666666667,5.5,2,5,27,2,"USA","USA",3,7,7,"3ON104KXQKXHS0I4TXYBUGIF2VCW43","37MQ8Z1JQEX9S71OEHR9XEAER0FY2L","","",753,"Negative",3,7,7
"748","Exp1First",3.66666666666667,1,3,2,1,1,1,1,3,9,1,1,NA,NA,NA,NA,1,8,2,2,3.4375,3.83333333333333,5,3,8,51,1,"United States","United States",5,7,7,"3P529IW9KYMBFM3U90NSC9YQTEJLFP","38F60IALAGI6FBZGPO0W69PKF0DT07","","",634,"Negative",8,2,2
"749","Exp2First",3,1,3,2,1,1,1,1,3,9,2,1,1,5,5,4,NA,NA,NA,NA,4.75,4.16666666666667,5.5,5,1,53,2,"USA","USA",1,7,6,"3P529IW9KYMBFM3U90NSC9YQTEKFLK","3BFF0DJK8XD6GKJSYQJGGFV3ASWSTT","","",929,"Negative",5,5,4
"750","Exp1First",4,1,1,3,2,4,5,5,3,8,2,2,1,1,9,5,NA,NA,NA,NA,3.3125,3.5,3.5,4,4,38,2,"United States","United States",3,7,3,"3BDCF01OGXVHFDKPEQFG1U56ZPALYN","37MQ8Z1JQEX9S71OEHR9XEAER0FY2L","","",1438,"Negative",1,9,5
"751","Exp2First",4,1,2,1,3,2,3,3,3,7,3,3,1,5,4,4,NA,NA,NA,NA,4.625,4,5.5,0,1,62,1,"United States","United States",4,7,3,"354P56DE9K4L46JEBQMH03Z4NKC7SP","3J9UN9O9J3TC183BDUMS432BHYN0JA","","",1333,"Negative",5,4,4
"752","Exp2First",3.66666666666667,1,2,1,3,4,5,1,3,8,1,1,NA,NA,NA,NA,1,4,9,9,4,4.5,4.5,1,8,44,1,"USA","USA",3,7,5,"3JNQLM5FT4NRESRIL58LSQ41KAKL2B","37M4O367VJJ1XNVXDX5W1QQJ20T5M4","","",836,"Negative",4,9,9
"753","Exp2First",3.16666666666667,1,3,1,2,1,1,1,3,9,1,1,1,9,1,1,NA,NA,NA,NA,4.5,4.16666666666667,5,2,6,68,2,"USA","USA",3,7,7,"3Y4W8Q93LZLHD71SWYU8BIT78ZCDVW","30EV7DWJTVWXA8KP1J3CNRRQ75HY62","","",1436,"Negative",9,1,1
