"","study_order","ManiCheck","Exp1_check","Exp1_check_DO_1","Exp1_check_DO_2","Exp1_check_DO_3","Exp1_prob_hiring","Exp1_loyalty","Exp1_honesty","Exp2_S1_check","Exp2_S1_seen_wrong","Exp2_S1_self_action","Exp2_S1_guide_other","Exp2_S2F_check","Exp2_S2F_seen_wrong","Exp2_S2F_self_action","Exp2_S2F_guide_other","Exp2_S2M_check","Exp2_S2M_seen_wrong","Exp2_S2M_self_action","Exp2_S2M_guide_other","MASC_set1","MASC_set2","MASC_set3","BIDR_self_deceptive","BIDR_impre_manage","age","gender","origcount","residence","soc_class","engunder","funnel_pay","assignmentId","hitId","CountryCode","CountryName","condition","Exp2_S2_seen_wrong_T2","Exp2_S2_self_action_T2","Exp2_S2_guide_other_T2"
"1","Exp2First",4,1,1,2,3,1,1,1,3,8,3,2,NA,NA,NA,NA,1,3,7,7,3.6875,3.33333333333333,4.5,6,8,39,2,"US","US",3,7,4,"3HUTX6F6VUOZKDUFYXODK78VFCPO2P","31KPKEKW4AE6JP5ZP29B6FJY9SW0B5","","","Dissonance_write",3,7,7
"2","Exp2First",2.66666666666667,1,3,1,2,1,2,2,3,2,1,1,NA,NA,NA,NA,1,4,7,5,3.5625,3.91666666666667,6,4,4,63,2,"United States","United States",4,7,6,"3ND9UOO81K3DQ8PPZPXSGXKQOEFLWN","3XH7ZM9YX2VBVQA1LVEUZ5PVUIT9R3","","","Dissonance_write",4,7,5
"3","Exp1First",4.33333333333333,1,3,1,2,1,1,1,3,9,1,2,NA,NA,NA,NA,1,2,9,5,3.6875,3.58333333333333,7,1,12,37,2,"usa","usa",2,7,4,"3Y4W8Q93LZLHD71SWYU8BIT78WBVD7","3TC2K6WK9G3UD1A61DTFY1MCYKV28S","","","Dissonance_write",2,9,5
"4","Exp1First",2.5,1,1,3,2,4,4,4,3,5,4,3,NA,NA,NA,NA,1,1,8,7,4.4375,4.33333333333333,4,1,0,27,1,"USA","USA",2,7,5,"3ATTHHXXWAPQP7M9ORW1Q065GCVIX3","3TC2K6WK9G3UD1A61DTFY1MCYKV28S","","","Dissonance_write",1,8,7
"5","Exp2First",3.66666666666667,1,1,3,2,7,4,7,3,2,7,8,1,1,9,9,NA,NA,NA,NA,3.625,3.5,5.5,2,0,30,1,"USA","USA",4,7,5,"3TYCR1GOTCKHK3UUACHZF1E85HCLZ8","3RQVKZ7ZRKKQDN5NR819K1QHN1227K","","","Dissonance_write",1,9,9
"6","Exp2First",3.66666666666667,1,1,3,2,1,1,3,3,7,2,2,1,7,2,1,NA,NA,NA,NA,4.8125,4,3,4,1,40,2,"United States","United States",4,7,3,"3AUQQEL7U5UNEN0YKM6DWB9OE8V0VE","3K3IX1W4S6S4OW4R09O5Q500ZJZPAK","","","Dissonance_write",7,2,1
"7","Exp1First",1.66666666666667,1,3,2,1,1,2,2,3,8,1,1,NA,NA,NA,NA,1,2,1,2,3.25,3.5,6.5,11,5,37,1,"USA","USA",4,7,6,"38BQUHLA9W1PRHY88F7XZGMTLIZOMB","3XBYQ44Z6P5ZN101IVTHD4YOG5NWT7","","","Dissonance_write",2,1,2
"8","Exp2First",3.33333333333333,1,2,3,1,4,3,7,3,7,3,3,NA,NA,NA,NA,1,3,2,6,4.3125,3.66666666666667,5.5,2,2,33,1,"USA","USA",3,5,5,"3LYA37P8IQOAIZ9WJYPVEJUQPELKBY","3NKW03WTLM8MVL891RZM8ZN1WYOWQT","","","Dissonance_write",3,2,6
"9","Exp2First",3.5,1,1,2,3,1,1,1,3,9,2,2,1,2,7,7,NA,NA,NA,NA,3.9375,4.25,6.5,2,3,34,1,"USA","USA",2,7,5,"3QECW5O0KH27W2IACXCACOHUYVQ5TO","3QI9WAYOGQC0EM8G2DBN553PQKGS6D","","","Dissonance_write",2,7,7
"10","Exp2First",3.66666666666667,1,1,2,3,2,3,3,3,6,7,7,1,5,6,7,NA,NA,NA,NA,4.3125,4,4.5,1,2,32,1,"usa","usa",3,7,7,"308XBLVESI5W53MR9IYSFVG4K6FRBY","3J6BHNX0U9TAXO10WLO2GUY14GSKNY","","","Dissonance_write",5,6,7
"11","Exp1First",4.5,1,3,2,1,1,1,1,3,9,1,1,NA,NA,NA,NA,1,9,9,1,4.5625,3.41666666666667,5,1,12,32,2,"United States","United States",4,7,7,"3OLQQLKKNSQDEIFYB4R9EC0YDMYEJT","3HXK2V1N4KG96GGOKB53QE3AM4L2GN","","","Dissonance_write",9,9,1
"12","Exp1First",3.83333333333333,1,1,2,3,1,1,1,3,7,1,1,1,5,1,3,NA,NA,NA,NA,3.75,3.5,4,4,16,56,2,"USA","USA",3,7,6,"3M23Y66PO2820659SGHPUPZ8S7NS62","3KA7IJSNW669769J6NO1LGK6H1KPBF","","","Dissonance_write",5,1,3
"13","Exp1First",3.83333333333333,1,2,1,3,3,3,4,3,6,6,5,1,3,7,7,NA,NA,NA,NA,4.375,3.5,5,3,5,38,1,"United States","United States",4,7,6,"3FUI0JHJPXZZJ6XCJZIQFEFCQ0N33G","3Y7LTZE0YTNIH9KVTN3YH4E8GLYZUR","","","Dissonance_write",3,7,7
"14","Exp1First",3.66666666666667,1,3,2,1,1,1,2,3,9,1,1,NA,NA,NA,NA,1,2,7,7,3.5,4.25,4,0,12,36,1,"USA","USA",2,7,5,"3GU1KF0O4I2BTQ6CWQU3A0GPJORPB4","3H4IKZHALBJB5UM3TYGI8MF5YBXNN6","","","Dissonance_write",2,7,7
"15","Exp1First",3.16666666666667,1,1,2,3,3,3,5,3,8,5,2,1,9,1,2,NA,NA,NA,NA,2.9375,3.66666666666667,5.5,7,6,48,1,"USA","USA",3,7,4,"33FBRBDW6O09X3Z1O9ONZYRHCZR8CA","35A1YQPVFEHF1456SI749XJ2LR3I5V","","","Dissonance_write",9,1,2
"16","Exp2First",3.66666666666667,1,3,1,2,1,1,1,3,8,1,1,1,6,1,1,NA,NA,NA,NA,4.375,4.33333333333333,4.5,5,5,56,2,"US","US",4,7,3,"3DR23U6WE5F7SLB3NY5DGIN7BOPETY","3NKW03WTLM8MVL891RZM8ZN1WYOWQT","","","Dissonance_write",6,1,1
"17","Exp2First",3.16666666666667,1,3,1,2,3,5,3,3,7,3,3,NA,NA,NA,NA,1,3,6,6,4.0625,3.58333333333333,4,2,1,61,2,"United states","United States",3,7,6,"3NGI5ARFTT6AGSOKUT1E4O3GXC0P1L","31KSVEGZ34TM7MN9E6OMDPX6SKQWRU","","","Dissonance_write",3,6,6
"18","Exp1First",4,1,2,1,3,1,3,2,3,7,9,8,NA,NA,NA,NA,1,1,9,9,4.5625,4.41666666666667,6.5,8,1,40,2,"United States","United States",3,7,6,"3JPSL1DZ5S067VP7AXHFB0RO1R5ANY","3XQ4XW3OD9DCWLPFFBZKFSMDAFES2W","","","Dissonance_write",1,9,9
"19","Exp2First",3.66666666666667,1,2,1,3,3,1,1,3,2,6,7,NA,NA,NA,NA,1,1,1,7,3.6875,3.41666666666667,6,5,7,47,2,"United States","United States",3,7,3,"345LHZDEDXTJI0AVYJER2N5C3D63UN","3D3B8GE892SQJDUM83A5UAPGT1HP95","","","Dissonance_write",1,1,7
"20","Exp1First",2.33333333333333,1,1,3,2,1,5,1,3,9,1,1,1,9,1,3,NA,NA,NA,NA,2.9375,4.16666666666667,6.5,3,5,50,1,"United States","United States",2,7,5,"3AQF3RZ558JTW10NMWHQNQGT3HT6FX","3B623HUYJ4RNI0R4VS8LPJZGWF6S8Z","","","Dissonance_write",9,1,3
"21","Exp2First",4,1,2,3,1,3,3,3,3,7,3,5,1,7,1,3,NA,NA,NA,NA,3.5,4.25,5,0,5,30,1,"USA","USA",4,7,3,"3NG53N1RLVKSRS85TEATJYQOBI7P86","3QREJ3J433YK9OYFK88N32UCZLSKLW","","","Dissonance_write",7,1,3
"22","Exp1First",2.66666666666667,1,2,1,3,3,1,3,3,3,7,6,NA,NA,NA,NA,1,1,9,9,5.1875,3.5,4,5,1,40,1,"United States","United States",4,7,7,"3LRKMWOKB5IBJH8M06ZU05FZZHL2Z0","3MG8450X2OBO35IP6E5WQ6CU6MRUP1","","","Dissonance_write",1,9,9
"23","Exp2First",2.83333333333333,1,2,1,3,3,4,4,3,9,1,1,1,1,9,6,NA,NA,NA,NA,5.125,3.75,4.5,10,1,27,2,"usa","usa",2,7,2,"3N1FSUEFL51IJUIDC2TL2STUVD7D48","3NCN4N1H1GI94LX6Q8B9HRFBHMJNBH","","","Dissonance_write",1,9,6
"24","Exp1First",3.5,1,2,3,1,3,1,2,3,5,3,1,1,2,5,1,NA,NA,NA,NA,4.875,3.5,7,0,8,35,1,"United States","United States",2,7,1,"3CN4LGXD5XPLH5D48YGZFD3VD1D4Y7","31GN6YMHLPTY81NMTVOR3Z22EM9WSI","","","Dissonance_write",2,5,1
"25","Exp2First",3.33333333333333,1,3,2,1,1,1,1,3,9,1,1,1,3,7,6,NA,NA,NA,NA,4.8125,4.33333333333333,6,7,1,39,2,"USA","USA",2,7,7,"3C6FJU71TQUKY37JN47HSH1PCE1YUO","3E22YV8GG17B8FYG9DTACBK0YQYNP2","","","Dissonance_write",3,7,6
"26","Exp2First",2.5,1,3,2,1,4,4,4,3,6,6,4,1,6,6,5,NA,NA,NA,NA,3.9375,3.83333333333333,3,1,6,28,1,"USA","USA",3,7,4,"3WAKVUDHUWH1JJBI0VHHF4HS8FT7UX","3WKGUBL7SZNZVM9CZGL7WL5G2Z34LR","","","Dissonance_write",6,6,5
"27","Exp2First",2.83333333333333,1,3,1,2,1,1,1,3,5,2,2,1,3,1,1,NA,NA,NA,NA,3.625,3.58333333333333,2.5,6,8,43,1,"United States of America","United States of America",1,7,2,"37M28K1J0QEAO5YMVZPNITA7S71JA4","3PIOQ99R7YNO0K6CQZS4MH7Z67QUN5","","","Dissonance_write",3,1,1
"28","Exp1First",2.33333333333333,1,3,1,2,1,1,1,3,9,1,1,1,1,5,5,NA,NA,NA,NA,4.1875,3.75,5,7,5,45,1,"usa","usa",4,7,6,"3JC6VJ2SABK2H6J16XLTHJR2A67A5A","3RWB1RTQDJOQ58BC3B4RUEU59VZP8G","","","Dissonance_write",1,5,5
"29","Exp1First",3.83333333333333,1,1,3,2,2,2,2,3,7,5,3,NA,NA,NA,NA,1,3,2,2,5,4.41666666666667,5.5,6,5,66,2,"USA","USA",3,7,5,"3S0TNUHWKTJJ2V5FO5JYJ49ZXZ58DC","31GN6YMHLPTY81NMTVOR3Z22EM9WSI","","","Dissonance_write",3,2,2
"30","Exp1First",3.5,1,3,2,1,1,2,3,3,2,5,4,NA,NA,NA,NA,1,3,4,4,4.5,3.83333333333333,7,0,2,37,2,"United States of America","United States of America",4,7,6,"3DH6GAKTYYQ1K21TTR6P99G4EWHZYF","351S7I5UG9XFM4VIE0OQFFYOPRSNJ2","","","Dissonance_write",3,4,4
"31","Exp1First",3.66666666666667,1,2,3,1,4,5,5,3,8,1,1,1,6,2,3,NA,NA,NA,NA,3,4.91666666666667,4,2,16,55,1,"United States","United States",2,7,5,"3ERMJ6L4DYTI6B69RTQVOU0YVTR7M6","3XEIP58NL0OFYJX1K9BXQHIP3U5ZLX","","","Dissonance_write",6,2,3
"32","Exp2First",3.83333333333333,1,1,2,3,2,2,2,3,3,7,7,1,5,5,5,NA,NA,NA,NA,4.8125,3.91666666666667,6,1,5,67,1,"usa","usa",2,7,7,"3TE3O8573092HQMVQP5HE2D0Q042R9","3BO3NEOQM0IC7AHNNEYLH8ZOD54IA1","","","Dissonance_write",5,5,5
"33","Exp2First",3,1,3,1,2,3,2,2,3,9,1,1,1,8,2,3,NA,NA,NA,NA,3.4375,3.91666666666667,5.5,1,9,57,2,"USA","USA",1,7,5,"35H6S234SA11U47YGK4H1EPGENH56F","3PA41K45VN5M5U6TT6CLGEYAYBTP7T","","","Dissonance_write",8,2,3
"34","Exp1First",3,1,2,3,1,1,1,1,3,9,1,1,NA,NA,NA,NA,1,2,5,2,2.9375,3.08333333333333,5.5,3,16,34,1,"US","US",4,7,3,"34HJIJKLP5X4DBIZ3NTF8EZ1VKCV4Q","3Y7LTZE0YTNIH9KVTN3YH4E8GLYZUR","","","Dissonance_write",2,5,2
"35","Exp1First",3.5,1,3,2,1,1,1,1,3,9,1,1,1,9,1,1,NA,NA,NA,NA,4.25,4.33333333333333,7,6,14,67,2,"United States","United States",5,7,4,"3LS2AMNW5FRGCWW008EEGP6YVJWQO0","34D9ZRXCYRV11OKJSQSZLA5BM36SA3","","","Dissonance_write",9,1,1
"36","Exp2First",3.5,1,1,3,2,2,3,6,3,9,1,1,NA,NA,NA,NA,1,1,8,7,4.0625,3.91666666666667,6.5,1,5,38,1,"United States","United States",4,7,5,"36DSNE9QZ5ZZQ9SN5IU5JOUCHO4OJ7","3NKW03WTLM8MVL891RZM8ZN1WYOWQT","","","Dissonance_write",1,8,7
"37","Exp1First",2.16666666666667,1,1,3,2,4,4,2,3,8,1,1,NA,NA,NA,NA,1,8,2,1,4.0625,3.58333333333333,3.5,8,4,29,2,"United States of America","United States of America",2,7,7,"3TEM0PF1Q5Y1K60CT16JQP3HE1SD0T","3OPLMF3EU5OLHUJIHL03VUBGTGXNL4","","","Dissonance_write",8,2,1
"38","Exp1First",3,1,1,3,2,5,2,3,3,8,2,3,NA,NA,NA,NA,1,8,2,2,4.875,4.75,5.5,2,11,32,1,"United States","United States",5,4,4,"3XIQGXAUMC9T0N5D50S4ZBGW2XAX7F","3RWB1RTQDJOQ58BC3B4RUEU59VZP8G","","","Dissonance_write",8,2,2
"39","Exp1First",3.83333333333333,1,3,1,2,4,3,4,3,7,4,3,1,5,4,5,NA,NA,NA,NA,4.125,4.25,4.5,4,11,29,1,"USA","USA",2,7,4,"33LK57MYLT64OGPKULE0RNS3XBKZS0","39KV3A5D188JIMMLLNGFBJ3LLV0S7C","","","Dissonance_write",5,4,5
"40","Exp2First",3.5,1,1,3,2,7,6,3,3,7,2,1,1,4,6,1,NA,NA,NA,NA,3.625,4.66666666666667,3.5,6,1,22,2,"United States","United States",2,7,6,"3WYP994K17SZWSHIRM9ECBN99SSY6V","3OPLMF3EU5OLHUJIHL03VUBGTG2NL9","","","Dissonance_write",4,6,1
"41","Exp1First",2.5,1,1,3,2,3,2,3,3,6,3,4,1,4,3,4,NA,NA,NA,NA,4.25,3.91666666666667,6,8,0,29,2,"USA","USA",2,7,7,"38BQUHLA9W1PRHY88F7XZGMTLI9OML","3P520RYKCH7KAV06MZWIS07DFMW5UW","","","Dissonance_write",4,3,4
"42","Exp2First",3.5,1,1,3,2,7,7,7,3,7,8,8,NA,NA,NA,NA,1,5,8,8,3.8125,4.66666666666667,7,7,7,58,2,"England","United States of America",4,7,7,"3OJSZ2ATDSXKY4L3ZU997SPC9Y957M","3L55D8AUFAYMQPTQBAGF9RJ03RSYCU","","","Dissonance_write",5,8,8
"43","Exp2First",2.16666666666667,1,1,2,3,1,1,1,3,7,3,2,NA,NA,NA,NA,1,3,6,7,3.625,4.08333333333333,6,2,8,42,1,"United States","United States",3,7,4,"3OS46CRSLF0ISYMDMBMU5CJFRBQV6J","3TZ0XG8CBUL5DLV5MM8U8OUQ4RN89A","","","Dissonance_write",3,6,7
"44","Exp1First",2,1,3,2,1,2,2,2,3,9,1,1,NA,NA,NA,NA,1,9,1,1,2.75,4.41666666666667,7,3,13,48,2,"USA","USA",4,7,7,"3FE2ERCCZX9VCKVL0VZPGKGOQNKPOI","3VADEH0UHCY8OSQLH9AWB5U6LPBPSL","","","Dissonance_write",9,1,1
"45","Exp1First",2.83333333333333,1,1,2,3,1,1,1,3,9,1,1,1,9,1,1,NA,NA,NA,NA,4.0625,3.83333333333333,6,4,8,63,2,"USA","USA",4,7,7,"33F859I566EJG98ODDMY1REYXXRHB1","3N5YJ55YXG44LBSEKUBDMGV5Z43NAR","","","Dissonance_write",9,1,1
"46","Exp1First",4,1,3,2,1,1,1,1,3,9,1,1,1,7,2,2,NA,NA,NA,NA,3.125,4.58333333333333,1.5,1,12,73,1,"United States","United States",4,7,4,"3VBEN272MK04XZUF4TQB6GCXML0SGE","3ZG552ORAM5SOD6J964PQF6K9JE2VH","","","Dissonance_write",7,2,2
"47","Exp1First",4,1,3,2,1,4,3,3,3,9,1,1,NA,NA,NA,NA,1,2,8,7,4.375,3.91666666666667,5,3,9,69,2,"united states","united states",3,7,7,"33SA9F9TRXVZK2FXI3AO32U6FIHWEG","3N5YJ55YXG44LBSEKUBDMGV5Z43NAR","","","Dissonance_write",2,8,7
"48","Exp1First",2.16666666666667,1,2,1,3,2,2,2,3,8,2,2,NA,NA,NA,NA,1,4,6,6,4.4375,4.25,5,8,2,73,2,"usa","usa",1,7,7,"37Z929RLG99824GLOTPI5ZRMCF9STO","38VTL6WC4AE1R4KBW0T7VLDQBA6Y5M","","","Dissonance_write",4,6,6
"49","Exp1First",1.66666666666667,1,1,3,2,1,1,1,3,9,1,1,1,5,5,5,NA,NA,NA,NA,4.625,3.91666666666667,7,6,7,31,2,"US","US",4,7,7,"3B2X28YI3WG3JKO7HUVU40P8OJDB6W","3OPLMF3EU5OLHUJIHL03VUBGTG2NL9","","","Dissonance_write",5,5,5
"50","Exp1First",3.16666666666667,1,1,3,2,1,2,2,3,6,7,7,1,6,4,4,NA,NA,NA,NA,3.4375,3.5,5.5,8,5,35,1,"United States","Florida",4,7,3,"3R6P78PK7KC5CZ7UTTV1GL8JO4FGTS","356TQKY9XFY1Z27C7PAAUS3K91Z87Y","","","Dissonance_write",6,4,4
"51","Exp1First",3.66666666666667,1,1,2,3,2,2,1,3,9,1,2,1,8,1,3,NA,NA,NA,NA,4,4.08333333333333,6.5,5,9,69,2,"USA","USA",4,7,7,"3A7Y0R2P2OPMKI6F69H121L5TSLJXJ","382GHPVPHSSIFIJNTAH70ZBZ2DH34H","","","Dissonance_write",8,1,3
"52","Exp2First",3,1,2,3,1,8,4,5,3,1,9,9,NA,NA,NA,NA,1,1,9,9,4.875,3.58333333333333,4.5,7,0,29,1,"USA","USA",2,7,4,"39GAF6DQWR1NLCLGG5ADAGSYJ0AV1L","3TLFH2L6Y9PDBL2U4B4APXIZCYY2T1","","","Dissonance_write",1,9,9
"53","Exp2First",4,1,2,3,1,5,5,5,3,5,5,5,NA,NA,NA,NA,1,8,8,8,4,4.16666666666667,6,0,4,40,2,"United States","United States",4,7,7,"39U1BHVTDLS4INV6YEOHXRJAKZ8T3V","3YCT0L9OMMA8L7E81UX47GPBLAASNS","","","Dissonance_write",8,8,8
"54","Exp1First",1.83333333333333,1,2,3,1,3,2,2,3,8,3,7,1,3,7,9,NA,NA,NA,NA,4.125,3.91666666666667,3.5,12,4,28,1,"USA","USA",2,7,1,"3DY4FPOOA1PBEHKXEZPSG7ABNY8RVH","3HUR21WDDUQATN4L26C2N44A49GXYV","","","Dissonance_write",3,7,9
"55","Exp2First",2.66666666666667,1,2,1,3,2,2,1,3,8,3,2,NA,NA,NA,NA,1,2,7,4,4.625,3.83333333333333,6.5,5,8,56,2,"United States","United States",1,7,4,"3IFS6Q0HJIKITQ0AUHQERSPD1YTISX","3JVP4ZJHDPTG6XJ5VC1SS2NB4JY0IY","","","Dissonance_write",2,7,4
"56","Exp2First",4.16666666666667,1,3,1,2,1,2,3,3,6,1,1,1,4,1,1,NA,NA,NA,NA,3.3125,4.16666666666667,4,5,18,59,1,"usa","usa",4,7,3,"3QIYRE09Y3IAD7C7EEOM0ZYLXXAN1Y","302U8RURJZ2ODZVCVP29I39IKE4VN0","","","Dissonance_write",4,1,1
"57","Exp1First",4.16666666666667,1,3,1,2,2,2,2,3,7,1,1,1,4,2,2,NA,NA,NA,NA,4.25,4.16666666666667,4.5,0,9,70,1,"America","America",2,7,6,"3PM8NZGV8YH365AS1Z1AZ2XR7NDQXH","3BFNCI9LYKRFY516V8FE3BV9TF7371","","","Dissonance_write",4,2,2
"58","Exp2First",3,1,2,3,1,8,6,2,3,6,5,2,NA,NA,NA,NA,1,6,2,7,3.75,3.75,4.5,9,8,66,2,"United States","United States",3,7,6,"39RP059MEHU58N9Z4A2BTWMUEJTMBI","3AQN9REUTFHWVHZ4B6BQTX1IOR4YDU","","","Dissonance_write",6,2,7
"59","Exp2First",2.5,1,2,1,3,1,1,1,3,5,1,1,NA,NA,NA,NA,1,3,3,3,4.3125,4.33333333333333,3.5,7,8,39,2,"United States","United States",2,7,3,"3UNH76FOCS61LV2AE2GV17KVZSAMYW","3VADEH0UHCY8OSQLH9AWB5U6LPBPSL","","","Dissonance_write",3,3,3
"60","Exp1First",3.83333333333333,1,2,1,3,2,3,2,3,9,1,1,NA,NA,NA,NA,1,4,1,2,3.75,3,6,2,11,39,2,"USA","USA",2,7,6,"3HSYG7LRBJZBB2DQPB2ODMDGC87KKV","3FK4G712NX151K6D9QEQ6AZH89ISS4","","","Dissonance_write",4,1,2
"61","Exp1First",2,1,3,2,1,5,3,5,3,7,5,4,1,7,5,3,NA,NA,NA,NA,4.4375,3.41666666666667,4.5,2,1,36,2,"United States","us",2,7,6,"3U088ZLJVKU0TC03AWB9IDS2LHAW0X","37M4O367VJJ1XNVXDX5W1QQJ20T5M4","","","Dissonance_write",7,5,3
"62","Exp1First",2.5,1,2,3,1,5,4,4,3,6,6,5,NA,NA,NA,NA,1,5,6,6,3.9375,2.83333333333333,6,10,0,41,2,"USA","USA",4,7,2,"3WQQ9FUS6AVQNY7VA9SSOELZUE48BG","3NOEP8XAU43GK9CKBJGJADBY04DPXT","","","Dissonance_write",5,6,6
"63","Exp1First",2.83333333333333,1,2,3,1,6,4,5,3,9,4,1,1,1,9,9,NA,NA,NA,NA,4.9375,3.91666666666667,7,6,1,36,1,"USA","USA",3,7,6,"39U1BHVTDLS4INV6YEOHXRJAKZDT30","3EGKVCRQFWT3GK1KXAKKY7DIL6SYBN","","","Dissonance_write",1,9,9
"64","Exp2First",2.83333333333333,1,2,3,1,3,3,3,3,9,9,2,NA,NA,NA,NA,1,3,9,3,4.6875,3.66666666666667,7,6,0,33,1,"USA","USA",4,7,5,"3JRJSWSMQHM2T4D98JZMY5J9HPRE3W","30UZJB2POHD0B1NN7F0H5RHD29C35M","","","Dissonance_write",3,9,3
"65","Exp1First",3.66666666666667,1,2,1,3,1,1,1,3,9,1,1,1,1,9,9,NA,NA,NA,NA,3.5,3.75,2.5,7,9,30,1,"USA","USA",3,7,6,"3WRFBPLXRAP6NAQM1I25OSDIVHR3N9","3TLFH2L6Y9PDBL2U4B4APXIZCYY2T1","","","Dissonance_write",1,9,9
"66","Exp2First",2.66666666666667,1,2,1,3,1,1,1,3,9,3,3,1,5,2,2,NA,NA,NA,NA,4.625,4,3.5,4,3,41,1,"USA","USA",4,7,6,"34T446B1C0FRFEUYT5B86JLZT1UC06","3HEADTGN2PT9SXN4OWJQRNESLBTVRO","","","Dissonance_write",5,2,2
"67","Exp1First",4.5,1,1,2,3,1,1,1,3,3,6,7,NA,NA,NA,NA,1,5,1,1,3.4375,3,4,2,9,64,1,"USA","USA",4,7,7,"3R2PKQ87NW9FVVN5AKUSFJQ799FMIT","389A2A304OJPTUX53256HZPGREE0CW","","","Dissonance_write",5,1,1
"68","Exp1First",1.83333333333333,1,3,2,1,1,5,3,3,7,1,1,1,7,1,1,NA,NA,NA,NA,3.6875,3.66666666666667,4,11,5,75,2,"USA","USA",4,7,1,"3SBEHTYCWN4FPCCJTNI39EDEIJTIYF","389A2A304OJPTUX53256HZPGREE0CW","","","Dissonance_write",7,1,1
"69","Exp2First",2.83333333333333,1,1,3,2,3,5,5,3,5,3,2,NA,NA,NA,NA,1,6,3,3,3.6875,3.5,4.5,5,0,28,2,"United States","USA",4,7,5,"39L1G8WVWQS393JXWV47RL0FSGN130","382GHPVPHSSIFIJNTAH70ZBZ2DH34H","","","Dissonance_write",6,3,3
"70","Exp1First",3.33333333333333,1,1,3,2,5,4,3,3,7,3,3,1,3,2,3,NA,NA,NA,NA,3.8125,3.83333333333333,4.5,1,0,46,2,"USA","USA",3,7,7,"3TXWC2NHNZRPIP77QNK1EZQAI8BS9T","30UZJB2POHD0B1NN7F0H5RHD29C35M","","","Dissonance_write",3,2,3
"71","Exp1First",3.66666666666667,1,3,2,1,4,2,3,3,6,1,3,NA,NA,NA,NA,1,1,7,5,3.5,3,6,3,7,34,2,"US","US",4,7,3,"3HOSI13XHZPVJQ165DUE5WN08QGDD1","3HEADTGN2PT9SXN4OWJQRNESLBTVRO","","","Dissonance_write",1,7,5
"72","Exp2First",3.66666666666667,1,1,2,3,1,2,1,3,7,1,2,1,7,1,4,NA,NA,NA,NA,4.5,4,5,4,5,36,1,"USA","USA",4,7,4,"3PDJHANYK5HDAXRTHM5QQBS6JWMH6M","30UZJB2POHD0B1NN7F0H5RHD29C35M","","","Dissonance_write",7,1,4
"73","Exp1First",2.33333333333333,1,2,1,3,1,1,1,3,9,2,1,1,9,1,1,NA,NA,NA,NA,3.375,3.08333333333333,4,11,11,52,4,"USA","USA",2,7,4,"3XXU1SWE8MW3MZX09RFH0OVBTYBA04","3H4IKZHALBJB5UM3TYGI8MF5YB2NNB","","","Dissonance_write",9,1,1
"74","Exp2First",2.5,1,3,2,1,2,3,4,3,3,7,7,NA,NA,NA,NA,1,4,6,5,5.125,3.16666666666667,5.5,1,1,39,1,"United States","United States",4,6,6,"3DZQRBDBSLG33NIR9EJRNMNOIG43SQ","33EEIIWHK789GW84BHUQMX4NPPRVQN","","","Dissonance_write",4,6,5
"75","Exp2First",2.66666666666667,1,1,2,3,1,2,2,3,9,1,1,NA,NA,NA,NA,1,3,6,6,3.75,4.25,7,3,12,28,2,"United States","United States",4,7,6,"3TUI152ZZBOVG4PZU6G34TTQ2881QA","3AQN9REUTFHWVHZ4B6BQTX1IOR4YDU","","","Dissonance_write",3,6,6
"76","Exp1First",4.5,1,2,1,3,1,1,1,3,9,1,1,1,5,5,1,NA,NA,NA,NA,3.3125,3.08333333333333,5.5,2,6,60,2,"USA","USA",5,7,6,"3ERMJ6L4DYTI6B69RTQVOU0YVT6M70","3UDTAB6HH60NVWQ2RIVFF9O8LTB09F","","","Dissonance_write",5,5,1
"77","Exp2First",2,1,1,3,2,1,1,2,3,6,4,4,NA,NA,NA,NA,1,6,2,2,5.25,3.33333333333333,6.5,8,7,33,1,"United States","United States",4,7,7,"3WI0P0II61TPK0KBNEPYAL44NRBRDP","3IJ95K7NDXD5V25H6U3NI268XZGNG3","","","Dissonance_write",6,2,2
"78","Exp2First",2.83333333333333,1,3,2,1,1,1,1,3,6,6,4,NA,NA,NA,NA,1,2,8,9,5.3125,3.75,7,8,4,54,2,"United States","United States",3,7,6,"3WLEIWSYHOIPSW8SUKTN0YBU3ST2H1","3UDTAB6HH60NVWQ2RIVFF9O8LTB09F","","","Dissonance_write",2,8,9
"79","Exp2First",2.66666666666667,1,1,2,3,1,1,1,3,9,1,1,1,6,1,3,NA,NA,NA,NA,3.375,4.08333333333333,7,9,7,49,2,"USA","USA",5,7,4,"36ZN444YTRZ3VY8HN0957NFC4A3OIL","3JAOYN9IHL3XXM0JTWCOQUJTODL33W","","","Dissonance_write",6,1,3
"80","Exp1First",4.5,1,3,1,2,3,3,3,3,9,1,1,1,9,1,1,NA,NA,NA,NA,2.8125,4.83333333333333,2.5,1,18,65,2,"usa","usa",2,7,6,"3KYQYYSHYV8MNNSVVM8UGQZZC5WODK","3G3AJKPCXLTJVLGBIVAXQT7CBEBY4H","","","Dissonance_write",9,1,1
"81","Exp1First",1.83333333333333,1,2,1,3,1,2,2,3,9,1,1,NA,NA,NA,NA,1,5,2,2,3.25,3.66666666666667,7,6,1,57,2,"United States","United States",2,7,3,"3SPJ0334214BKNWPB533LFSEVYQJY0","3YCT0L9OMMA8L7E81UX47GPBLAASNS","","","Dissonance_write",5,2,2
