"","study_order","ManiCheck","Exp1_check","Exp1_check_DO_1","Exp1_check_DO_2","Exp1_check_DO_3","Exp1_prob_hiring","Exp1_loyalty","Exp1_honesty","Exp2_S1_check","Exp2_S1_seen_wrong","Exp2_S1_self_action","Exp2_S1_guide_other","Exp2_S2F_check","Exp2_S2F_seen_wrong","Exp2_S2F_self_action","Exp2_S2F_guide_other","Exp2_S2M_check","Exp2_S2M_seen_wrong","Exp2_S2M_self_action","Exp2_S2M_guide_other","MASC_set1","MASC_set2","MASC_set3","BIDR_self_deceptive","BIDR_impre_manage","age","gender","origcount","residence","soc_class","engunder","funnel_pay","assignmentId","hitId","CountryCode","CountryName","condition","Exp2_S2_seen_wrong_T2","Exp2_S2_self_action_T2","Exp2_S2_guide_other_T2"
"581","Exp1First",4.5,1,3,1,2,1,1,1,3,9,1,1,1,9,1,1,NA,NA,NA,NA,3.9375,3.83333333333333,5.5,7,14,41,2,"USA","USA",3,7,7,"3KJYX6QCM9CUGT1K6UGJEGOKDHBVJQ","3YGYP13641AWKSEVM5XZH6KFZ8RNRZ","","","Neutral",9,1,1
"582","Exp2First",4.33333333333333,1,1,3,2,7,6,6,3,6,4,4,1,6,4,3,NA,NA,NA,NA,3.9375,3.75,4.5,1,15,27,1,"United States","United States",4,7,6,"3R5F3LQFV2LPQOXRN4XR7II20MROZ2","3FK4G712NX151K6D9QEQ6AZH89ISS4","","","Neutral",6,4,3
"583","Exp1First",2.5,1,2,1,3,1,3,3,3,8,1,2,1,1,5,5,NA,NA,NA,NA,3.9375,3.5,4,3,3,35,2,"United States","FL",2,7,4,"3A1PQ49WVHII3BQWBGT9VF1PBL01H2","3X0EMNLXEPQOGK7PB4F1MSEDKT5VPW","","","Neutral",1,5,5
"584","Exp1First",3.16666666666667,1,2,1,3,4,3,3,3,8,1,1,1,5,2,2,NA,NA,NA,NA,4.0625,4.25,5.5,1,15,41,2,"usa","usa",4,7,5,"3X66WABAJWJ0DI90EEPAY84LU50G39","3NCN4N1H1GI94LX6Q8B9HRFBHMONBM","","","Neutral",5,2,2
"585","Exp1First",4,1,3,2,1,2,2,2,3,9,1,1,NA,NA,NA,NA,1,7,5,3,3.25,4.58333333333333,4.5,3,16,66,2,"USA","USA",3,7,7,"3IHR8NYAM72R8RL3HBKG2MAJ9WL4PO","3VADEH0UHCY8OSQLH9AWB5U6LPBPSL","","","Neutral",7,5,3
"586","Exp1First",3.5,1,1,3,2,2,3,4,3,2,1,1,NA,NA,NA,NA,1,4,5,5,3.5625,3.58333333333333,6,1,2,59,1,"United States","United States",4,7,6,"3VSOLARPKBALY8MS08J06RIYQS693C","37Y5RYYI0P6DX1SC30KD5IG9NOKSXC","","","Neutral",4,5,5
"587","Exp2First",4,1,3,2,1,1,1,1,3,9,1,1,1,8,1,3,NA,NA,NA,NA,2.75,4.16666666666667,7,1,14,59,1,"usa","usa",2,7,6,"3K772S5NP8CHNCK8N4OO2ZKJ0U5HE2","3M47JKRKCX2IV2T7OF5IOE3OEQF86Z","","","Neutral",8,1,3
"588","Exp1First",4.5,1,1,2,3,3,1,1,3,9,1,1,NA,NA,NA,NA,1,7,1,1,4.75,3.08333333333333,6,3,16,60,1,"USA","USA",4,7,5,"3E47SOBEYQX2M9BEXV0ECNLVFV6IC2","3BFNCI9LYKRFY516V8FE3BV9TF7371","","","Neutral",7,1,1
"589","Exp2First",4.33333333333333,1,3,2,1,1,1,1,3,9,1,1,NA,NA,NA,NA,1,5,1,1,3.875,4.41666666666667,5.5,5,3,58,2,"united states","usa",3,7,4,"37C0GNLMHF4WYHMRVQM0ZQD8R4P6DY","3HEM8MA6H9DWBCB8P5LRG5F531QPQW","","","Neutral",5,1,1
"590","Exp2First",4.16666666666667,1,1,3,2,1,1,1,3,8,2,2,1,5,2,2,NA,NA,NA,NA,4.4375,3.75,4,2,2,53,1,"United States","United States",5,7,6,"3O6CYIULED2G9YCJ83PT7KG916CWUY","37Y5RYYI0P6DX1SC30KD5IG9NOKSXC","","","Neutral",5,2,2
"591","Exp1First",3,1,3,2,1,4,3,4,3,8,1,1,NA,NA,NA,NA,1,2,5,3,3.9375,4.33333333333333,4,8,4,28,2,"USA","USA",5,7,5,"3SKEMFQBZ36RG1BPGM5LNH4PH8DK8C","37NXA7GVST7YPZSRJCMU5B5TFJ4VLY","","","Neutral",2,5,3
"592","Exp2First",4.5,1,3,2,1,1,1,1,3,9,1,1,NA,NA,NA,NA,1,8,1,1,2.75,4.25,6.5,2,15,48,2,"United States","United States",4,7,3,"3NC5L260MONJL76RMS3K4Q2KOHYOFF","3TLFH2L6Y9PDBL2U4B4APXIZCYY2T1","","","Neutral",8,1,1
